Län,Lat,Lon
Blekinge,59.5116,14.148330
Dalarna,60.678559,15.600586
Gotland,57.499998,18.5499978
Gävleborg,60.67452,17.14174
Halland,56.8967,12.8034
Jämtland Härjedalen,63.1712,14.9592
Jönköping,57.7826,14.1618
Kalmar,56.66157,16.36163
Kronoberg,56.7183,14.4115
Norrbotten,67.0,20.0
Skåne,55.9903,13.5958
Stockholm,59.3289,18.0649
Sörmland,59.0336,16.7519
Uppsala,59.8586,17.6389
Värmland,59.7294,13.2354
Västerbotten,65.3337,16.5162
Västernorrland,63.4276,17.7292
Västmanland,59.6714,16.2159
Västra Götaland,58.2528,13.0596
Örebro,59.275,15.21341
Östergötland,58.588,16.188
